Account,Worst Trade
0x083384f897ee0f19899168e3b1bec365f52a9012,-117990.1041
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-6820.76955
0x271b280974205ca63b716753467d5a371de622ab,-25818.75012
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-7784.162915
0x2c229d22b100a7beb69122eed721cee9b24011dd,-996.7456
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-5981.36399
0x39cef799f8b69da1995852eea189df24eb5cae3c,-31036.69194
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-1388.851115
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,-6169.375076
0x4f93fead39b70a1824f981a54d4e55b278e9f760,-21524.4
0x513b8629fe877bb581bf244e326a047b249c4ff1,-29370.1198
0x6d6a4b953f202f8df5bed40692e7fd865318264a,-60.5786
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,-35681.74723
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,-3968.95225
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-5843.04
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,-776.860259
0x8170715b3b381dffb7062c0298972d4727a0a63b,-83056.32
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-1457.7349
0x8477e447846c758f5a675856001ea72298fd9cb5,-2806.5
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,-103.55
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,-7104.920076
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-10309.40032
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,-540.253351
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-5028.066368
0xb899e522b5715391ae1d4f137653e7906c5e2115,-17178.87662
0xbaaaf6571ab7d571043ff1e313a9609a10637864,-5.444032
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,-24500.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,-22634.46345
